,date,1. open,2. high,3. low,4. close,5. volume
SFM,2020-08-31,26.4,26.5,23.09,23.35,49456135.0
SFM,2020-07-31,25.61,28.0,23.68,26.38,60602594.0
SFM,2020-06-30,25.05,26.2,22.21,25.59,51483128.0
SFM,2020-05-29,20.54,26.84,20.43,25.13,57267742.0
SFM,2020-04-30,18.42,22.01,18.02,20.78,53952767.0
SFM,2020-03-31,16.15,20.41,13.0,18.59,61561165.0
SFM,2020-02-28,15.7,19.34,14.51,15.98,49238961.0
SFM,2020-01-31,19.39,19.39,15.34,15.63,38201891.0
SFM,2019-12-31,19.88,20.52,19.34,19.35,29508336.0
SFM,2019-11-29,19.52,20.73,19.15,19.8,26306359.0
SFM,2019-10-31,19.35,20.5,17.76,19.41,31388022.0
SFM,2019-09-30,17.89,20.24,17.49,19.34,25698873.0
SFM,2019-08-30,17.43,18.27,16.46,17.95,39083238.0
SFM,2019-07-31,19.02,19.13,16.66,16.93,37442060.0
SFM,2019-06-28,20.0,21.06,18.26,18.89,33637058.0
SFM,2019-05-31,21.44,24.06,19.72,20.05,35713860.0
SFM,2019-04-30,21.6,21.86,20.58,21.42,37561812.0
SFM,2019-03-29,23.41,23.65,21.43,21.54,39674890.0
SFM,2019-02-28,24.05,25.18,22.5009,23.32,34030582.0
SFM,2019-01-31,23.21,25.32,23.01,23.98,29146670.0
SFM,2018-12-31,23.9,25.44,22.25,23.51,38893256.0
SFM,2018-11-30,27.0,28.69,22.32,23.02,55028048.0
SFM,2018-10-31,27.58,28.12,26.25,26.89,44303342.0
SFM,2018-09-28,26.4,29.67,26.4,27.41,41114145.0
SFM,2018-08-31,21.57,26.59,20.95,26.47,37157581.0
SFM,2018-07-31,22.03,23.22,21.05,21.49,29316814.0
SFM,2018-06-29,21.78,22.85,20.63,22.07,37683199.0
SFM,2018-05-31,24.9,25.0,20.99,21.7,46137770.0
SFM,2018-04-30,23.33,25.54,22.66,25.03,25114778.0
SFM,2018-03-29,25.86,26.11,22.94,23.47,38078598.0
SFM,2018-02-28,27.91,27.94,24.42,25.76,39976779.0
SFM,2018-01-31,24.33,28.29,23.87,27.93,45123757.0
SFM,2017-12-29,23.07,25.0,22.61,24.35,35196659.0
SFM,2017-11-30,18.49,24.1,18.42,23.38,53810344.0
SFM,2017-10-31,18.86,19.31,17.55,18.49,48386940.0
